Bedrooms,Area_sqft,Bathrooms,Location,Parking_spaces,House_age,Price
2.0,4747.920374134444,1.0,Urban,3.0,60.0,1078883.157739152
6.0,1835.274384968405,3.0,Urban,0.0,50.0,595937.1520190205
1.0,1245.327561627194,2.0,Rural,1.0,25.0,198837.43872289505
6.0,688.9344300931471,2.0,Urban,0.0,87.0,282690.14019899623
1.0,4456.708969990272,3.0,Suburban,1.0,40.0,848129.5769024325
6.0,2555.863901961659,1.0,Urban,,76.0,635722.3080798996
6.0,2094.0630820014853,5.0,Urban,1.0,7.0,724329.3391693695
1.0,4175.069789528231,1.0,Suburban,0.0,14.0,768110.494151808
1.0,2667.3568094068805,5.0,Rural,0.0,94.0,301608.15508320776
4.0,4637.243320577027,5.0,Rural,3.0,58.0,675227.1261791141
1.0,2238.4542788440967,4.0,Rural,1.0,58.0,284755.0043975376
2.0,4689.5448689838495,3.0,Rural,3.0,68.0,557796.6302439837
3.0,2909.111458291974,5.0,Suburban,2.0,94.0,593942.5354044195
1.0,,1.0,Rural,1.0,93.0,294414.37547157827
,2519.4990822413138,4.0,Rural,3.0,45.0,415558.2068330907
3.0,2498.5747092458823,4.0,Rural,1.0,85.0,415477.169910875
2.0,3692.223351893259,1.0,Urban,1.0,42.0,745446.1397594624
1.0,1135.7512217397762,4.0,Rural,2.0,19.0,203743.1122554041
5.0,3056.4163055204026,3.0,Suburban,1.0,0.0,750215.5191228756
2.0,1253.1187991238255,3.0,Urban,1.0,98.0,335731.4745600672
4.0,1566.6253569875128,2.0,Rural,0.0,31.0,334838.45293342805
4.0,2285.585811888424,,Rural,2.0,37.0,431591.26330479694
3.0,4903.840793302386,3.0,Urban,3.0,79.0,1284032.1658787548
2.0,1804.8655352462408,5.0,Rural,3.0,51.0,296870.02465313737
1.0,4328.061172721808,1.0,Rural,2.0,84.0,470664.1432218129
6.0,3542.48704136485,4.0,Suburban,0.0,89.0,722389.8586864622
,3775.762295288344,3.0,Urban,3.0,44.0,1084451.2282806225
4.0,1520.286723155798,2.0,Rural,2.0,62.0,52416.142207273544
1.0,3936.105809899576,1.0,Urban,2.0,80.0,884880.4128801093
1.0,2336.535755716654,,Rural,2.0,20.0,337511.3626768746
1.0,1084.7361752057354,5.0,Urban,1.0,36.0,319351.1467853395
2.0,1546.4811126442105,2.0,Suburban,2.0,72.0,365670.3493521881
3.0,1697.7560563199186,,Urban,3.0,72.0,389456.5181770504
5.0,2851.1646823225324,4.0,Urban,1.0,78.0,712889.6361278415
3.0,3344.4042327780903,2.0,Suburban,0.0,25.0,731505.2465985345
3.0,2780.7729431921716,1.0,Rural,2.0,95.0,298127.59183558665
3.0,632.2750059042828,5.0,Urban,1.0,36.0,319863.5872889308
4.0,2750.360532222122,3.0,Urban,1.0,7.0,871564.4587566225
1.0,3010.1908636814064,2.0,Urban,2.0,34.0,612343.1422906553
4.0,1538.7313511930545,5.0,Suburban,1.0,96.0,303408.4535870424
5.0,3366.9087668640723,2.0,Suburban,2.0,25.0,730861.0650167533
4.0,4891.958823194566,4.0,Rural,1.0,39.0,712174.7611034382
